accuracy,precision,recall,f1_score,roc_auc,client,round,train_loss
0.9038076152304609,0.8538732394366197,0.9738955823293173,0.9099437148217636,0.9697570281124499,1,1,0.06680918691843096
0.87374749498998,0.8274647887323944,0.9437751004016064,0.8818011257035647,0.9650281124497992,2,1,0.11465871427417942
0.938877755511022,0.9161904761904762,0.9658634538152611,0.9403714565004888,0.9879477911646586,1,2,0.05866757154039264
0.9298597194388778,0.9099616858237548,0.9538152610441767,0.9313725490196079,0.9808835341365463,2,2,0.06479708551178028
0.9108216432865731,0.919917864476386,0.8995983935742972,0.9096446700507614,0.97220281124498,1,3,0.04005688636253955
0.9188376753507014,0.954248366013072,0.8795180722891566,0.9153605015673981,0.9786867469879518,2,3,0.06434744989671451
0.93687374749499,0.9111531190926276,0.9678714859437751,0.9386562804284323,0.9851244979919679,1,4,0.03768561887870608
0.938877755511022,0.9309664694280079,0.9477911646586346,0.9393034825870646,0.9802289156626507,2,4,0.06036097038275892
0.9509018036072144,0.9706498951781971,0.929718875502008,0.9497435897435897,0.9891044176706826,1,5,0.04996071496560734
0.9318637274549099,0.9613733905579399,0.8995983935742972,0.9294605809128631,0.9777951807228916,2,5,0.03427657668513749
0.9448897795591182,0.9529652351738241,0.9357429718875502,0.9442755825734549,0.9846184738955823,1,6,0.03087848200153918
0.9348697394789579,0.9373737373737374,0.9317269076305221,0.9345417925478349,0.9786706827309237,2,6,0.05714770844658667
0.9468937875751503,0.964509394572025,0.927710843373494,0.9457523029682702,0.9866265060240964,1,7,0.02428958137037538
0.9448897795591182,0.9403578528827038,0.9497991967871486,0.945054945054945,0.9836024096385543,2,7,0.0116653813788275
0.9569138276553106,0.9559118236472945,0.9578313253012049,0.9568706118355065,0.9876425702811245,1,8,0.03457753041230767
0.93687374749499,0.975929978118162,0.8955823293172691,0.9340314136125655,0.9851646586345382,2,8,0.04982267831939623
0.9108216432865731,0.8581436077057794,0.9839357429718876,0.9167446211412535,0.9803253012048193,1,9,0.03758241752061062
0.9248496993987976,0.9255533199195171,0.9236947791164659,0.9246231155778895,0.973871485943775,2,9,0.04131431639121434
0.9418837675350702,0.9296875,0.9558232931726908,0.9425742574257425,0.9815983935742971,1,10,0.036530683872069244
0.9408817635270541,0.9416498993963782,0.9397590361445783,0.9407035175879397,0.9791265060240963,2,10,0.027750303752388565
