accuracy,precision,recall,f1_score,roc_auc,round
0.6960980490245122,0.9745454545454545,0.4024024024024024,0.5696068012752391,0.8926031031031032,1
0.7968984492246123,0.7217651458489155,0.965965965965966,0.8261986301369864,0.9521732982982982,2
0.8434217108554277,0.9718019257221459,0.7072072072072072,0.8186558516801854,0.9538395895895896,3
0.8471735867933967,0.9701694915254238,0.7162162162162162,0.824071408004607,0.9614684684684686,4
0.8021510755377689,0.9950779327317474,0.6071071071071071,0.7541187441715884,0.9686736736736736,5
0.855927963981991,0.9910220994475138,0.7182182182182182,0.832849680789321,0.9712134634634635,6
0.8749374687343672,0.9826030927835051,0.7632632632632632,0.8591549295774648,0.9704727227227228,7
0.8149074537268635,0.9906396255850234,0.6356356356356356,0.774390243902439,0.9658556056056056,8
0.903951975987994,0.9713785046728972,0.8323323323323323,0.8964959568733154,0.9737119619619619,9
0.8431715857928964,0.9851380042462845,0.6966966966966966,0.8161829375549692,0.9721143643643643,10
